Code ALF;Statut;Libellé ALF;Libellé Commercial;Texte Commercial;Famille;Type de produit;Conclusion;Univers;Marché;Code Mercure;Code ADV;Code VAD;Engagement;Jour de facturation;Tarif;Date de fin;Non affiché;Score CRM;CGV;Type de commande
IR120013;C;Activation TV Orange par ADSL;Activation de la TV d'Orange par ADSL;La TV d'Orange vous permet d'accéder sur votre téléviseur à de nombreuses chaînes et des services interactifs inclus. C'est aussi un catalogue riche de bouquets TV et services optionnels pour composer votre offre sur mesure.\r\n- Sous réserve d'éligibilité technique.\r\n- Bouquets payants et programmes à la demande vendus séparément, coûts en sus.;Activation TV;Information;;Internet;R;;;;0;0;;;0;;;Internet
IR120015;C;Accès à Internet VDSL2;Accès à Internet VDSL2;Accès à Internet VDSL2 avec un débit descendant en général de 1 à 15Mbits/s, pouvant être compris entre 15 et 50Mbits/s pour certaines des lignes les plus courtes (moins de 1km) et un débit montant en général inférieur à 1Mbit/s pouvant atteindre 8 Mb/s pour certaines des lignes les plus courtes (moins de 1km), avec Livebox compatible et selon l'offre détenue, avec un débit descendant minimum garanti de 512Kbits/s.;Communication Internet Satellite;Information;;Internet;R;;;;;0;;;0;;;Internet
IR120042;C;Décodeur + carte d'accès TV (matériel conservé);Décodeur + carte d'accès TV (matériel conservé);;Décodeur;Produits;;Internet;R;;;;0;0;;;0;;;Internet
IR120186;C;bouquet musique classique;bouquet musique classique (sans engagement);Un bouquet dédié à la musique classique avec au programme des opéras, des ballets, des concertos, de la musique de chambre et du jazz. Retrouvez des productions variées et internationales.\r\n\r\nOption soumise à conditions, valable en France métropolitaine, réservée aux abonnés internet TV téléphone Orange sous réserve d'éligibilité technique.;Options TV;Options;;Internet;R;;;;0;0;11,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120188;C;bouquet beIN SPORTS;bouquet beIN SPORTS (sans engagement);Une offre 100% multisports pour suivre les plus grands évènements !;Options TV;Options;;Internet;R;;;;;0;15,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120190;C;bouquet sports max (en promo) 15eur pdt 2 mois;Promotion bouquet sports max à 15 euros pendant 2 mois puis 19 euros par mois;Adrénaline, émotions, compétition... : beIN SPORTS et encore plus de chaines sport. Grands événements, coulisses et magazines pour tous les passionnés de football et de sport. \r\nSuivez les championnats français et européens et les compétitions les plus prestigieuses sur beIN SPORTS, et profitez de 8 chaînes supplémentaires pour suivre de nombreuses autres disciplines.\r\n\r\nOption soumise à conditions, valable en France métropolitaine, réservée aux abonnés internet TV téléphone Orange sous réserve d'éligibilité.;Options TV;Options;;Internet;R;;;;;0;15,00 eur/mois pendant 2 mois puis 19,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120194;C;bouquet Allemand;bouquet Allemand (sans engagement);Retrouvez de l'information en continu, du divertissement, du cinéma, des séries ainsi que des programmes pour enfants.\r\n;Options TV;Options;;Internet;R;;;;0;0;9,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120195;C;bouquet Anglophone;bouquet Anglophone (sans engagement);"Retrouvez les chaînes anglophones pour toute la famille ; l'information 24h/24, les programmes jeunesses et séries cultes ainsi que les plus grands événements sportif. Enfin évadez-vous grâce à une chaîne consacrée aux voyages.\r\n";Options TV;Options;;Internet;R;;;;0;0;5,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120197;C;bouquet Arabe max;bouquet Arabe max;Profitez des programmes riches et variés : divertissement, information, cinéma, séries, magazines, reportages, débats, dessins animés, programmes musicaux, concerts, festivals...\r\n\r\n;Options TV;Options;;Internet;R;;;;0;0;15,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120198;C;bouquet Berbère;bouquet Berbère (sans engagement);Un concept original mêlant programmes familiaux de proximité, programmes 100% musique depuis les grands classiques des années 50's, 60's jusqu'aux derniers tubes à succès et programmes jeunesse de découverte et d'aventure pour les 4 - 14 ans.\r\n;Options TV;Options;;Internet;R;;;;0;0;6,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120199;C;bouquet Chinois;bouquet Chinois (sans engagement);Retrouvez culture, histoire, mode et divertissement Chinois. Films classiques ou contemporains en passant le Kung Fu, les séries et événements sportifs.\r\n;Options TV;Options;;Internet;R;;;;0;0;8,88 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120201;C;bouquet Italien;bouquet Italien (sans engagement);Retrouvez l'information politique italienne, de programmes généralistes orientés « famille », divertissement, science et culture.\r\n;Options TV;Options;;Internet;R;;;;0;0;6,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120204;C;TV : bouquet adulte;bouquet adulte;(réservée aux adultes - code adulte nécessaire).;Options TV;Options;;Internet;R;;;;;0;12,99 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120207;C;bouquet Espagnol;bouquet Espagnol (sans engagement);Retrouvez l'actualité 24/24 en Espagnol, profitez des programmes de la chaîne généraliste Antena 3 et soyez au plus près de la culture Espagnole avec les 3 chaînes locales de la Galice, de la Catalogne et du Pays Basque.\r\n;Options TV;Options;;Internet;R;;;;;0;6,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR120857;C;Sosh : porté par un autre n°mobile Orange;Offre Sosh portée par un autre numéro mobile Orange;;Communication Mobile;Information;;Internet;R;;;;;0;;;0;;;Autres
IR120961;C;Lettre aide à la résiliation auprès ancien FAI;Lettre aide à la résiliation auprès de votre ancien opérateur;Ci-joint un modèle de lettre pour vous aider à la résiliation de votre ancien opérateur.;Assistance résiliation;Information;;Internet;R;;;;;0;;;0;;modele_lettre_resiliation.pdf;Autres
IR120988;C;Cession;Cession;;Cession;Information;;Internet;R;;;;;0;;;0;;;Autres
IR130046;C;Illimité ligne VoIP vers mobiles;illimité ligne Livebox vers mobiles;Appelez en illimité les mobiles tous opérateurs de France métropolitaine et de la Zone d'Outre-Mer(1) depuis la ligne de téléphone par internet.\r\n- Offre sans engagement.\r\n- Hors numéros spéciaux et hors restrictions éventuelles mises en oeuvre par les opérateurs mobiles destinataires. Jusqu'à 250 correspondants différents par mois et 3h maximum par appel.\r\n- Option réservée aux clients détenteurs d'une offre Orange haut débit ou très haut débit incluant le téléphone par internet et n'ayant pas déjà les appels illimités vers les mobiles de France métropolitaine inclus dans leur offre. \r\n\r\n(1) Guadeloupe, Guyane française, Martinique, Réunion, Saint-Barthélémy, Saint-Martin, Mayotte, Saint-Pierre-et-Miquelon.;Options Communication;Options;;Internet;R;;;;;0;5,00 eur/mois;;0;;cs_illi_voip_vers_mobiles.pdf;Internet
IR130629;C;Prise Intérêt Fibre;Prise Intérêt Fibre;;Marquage;Information;;Internet;R;;;;;0;;;0;;;Autres
IR130631;C;bouquet intense;bouquet intense (sans engagement);Un seul bouquet pour satisfaire toutes les passions et toute la famille.\r\nCinéma, sport et divertissement sont au rendez-vous avec notamment OCS (films exclusifs et séries inédites(1)), beIN SPORTS, Paris Première, National Geographic Channel... Retrouvez des grandes marques de la TV, plus de 70 chaines et des centaines de programmes à la demande chaque mois.\r\n\r\nOption soumise à conditions, valable en France métropolitaine, réservée aux abonnés internet TV téléphone Orange sous réserve d'éligibilité technique. Non disponible pour les abonnés dont la TV est desservie par satellite. \r\n\r\n(1) Diffusés pour la 1ère fois à la télé en France.;Options TV;Options;;Internet;R;;;;;0;54,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR130692;C;bouquet Arabe;bouquet Arabe;Retrouvez les programmations musicales arabes, les films classiques, du divertissement pour toute la famille et chaînes jeunesse pour les petits et les adolescents.\r\n;Options TV;Options;;Internet;R;;;;;0;9,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR130942;C;MdM Fibre : -10eur 12mois (Rétractés Fibre) (MD);Remise -10 euros pendant 12 mois pour toute souscription à une offre Fibre;Vous bénéficiez d'une remise exceptionnelle de 10 euros par mois pendant 12 mois pour toute nouvelle souscription à une offre Fibre.;Avantages (migration);Options;;Internet;R;;;;;0;-10,00 eur/mois pendant 12 mois;;0;;;Internet
IR130944;C;MdM Livebox : -5 eur 12 mois (Rétention);Livebox : Remise -5 euros/mois pendant 12 mois;Vous bénéficiez d'une remise de 5 euros par mois pendant 12 mois.;Avantages (migration);Options;;Internet;R;;;;;0;-5,00 eur/mois pendant 12 mois;;0;;;Internet
IR130962;C;Maintien du numéro (avec envoi consentement);Le maintien de votre ancien numéro;En cliquant sur «confirmer votre accord», je demande la portabilité du numéro de la ligne mentionnée ci-dessus dont je certifie être titulaire. Je certifie également avoir préalablement pris connaissance de l'ensemble des conditions contractuelles régissant la portabilité des numéros fixes. Je déclare donner mandat à Orange pour effectuer l'ensemble des actes nécessaires à la mise en œuvre de ma demande de portabilité auprès de mon opérateur. Dans ce cadre, je reconnais avoir été informé par Orange que ma demande de portabilité du numéro vaut demande de résiliation de mon contrat auprès de mon opérateur en ce qui concerne le numéro porté. Je suis informé également que la résiliation de mon contrat auprès de mon opérateur prend effet le jour du portage effectif du numéro, sans préjudice des dispositions contractuelles relatives aux durées d'engagement. Je reste tenu de toutes obligations éventuelles qui me lient à mon opérateur, notamment de tout paiement y afférent éventuellement restant. Enfin, je suis informé que la portabilité n'emporte pas transfert des services dont je bénéficie au titre du contrat souscrit antérieurement auprès de mon opérateur.;Communication Mobile;Information;;Internet;R;;;;0;0;;;0;;;Autres
IR130963;C;Mandat de dégroupage;Mandat de dégroupage;Retrouvez en pièce jointe le mandat de dégroupage.;Assistance résiliation;Information;;Internet;R;;;;0;0;;;0;;mandat_degroupage.pdf;Autres
IR131032;C;Présentation du nom;Présentation du nom;Avec l'option Présentation du nom(1), le nom de votre correspondant s'affiche automatiquement sur votre téléphone. \r\n\r\n(1) Les coordonnées affichées sont celles inscrites dans l'annuaire (pour vos contacts inscrits en liste Anti recherche inversée, seuls leurs numéros de téléphone seront affichés). Nécessite une Livebox 2 ou la Livebox Play et un téléphone à écran compatible.;Options Communication;Options;;Internet;R;;;;;0;2,00 eur/mois;;0;;cs_presentation_du_nom.pdf;Internet
IR131033;C;Signal d'appel sur ligne VoIP;Signal d'appel;Cette option vous permet d'être informé lorsque quelqu'un tente de vous contacter alors que vous êtes déjà en communication téléphonique via la Livebox.\r\n\r\nIndispensable quand quelqu'un vous appelle alors que vous attendiez un coup de fil important de la part d'une autre personne, elle vous offre la possibilité, notamment grâce à la touche « R » :\r\n- d'être averti par un signal sonore dès que l'on tente de vous joindre de visionner le numéro de l'appelant,\r\n- de faire basculer votre premier correspondant en attente alors que vous répondez au second,\r\n- de mettre fin à l'un des deux appels tout en continuant l'autre d'alterner les deux conversations.\r\n\r\nMais vous pouvez également appeler vous-même une seconde personne alors que vous êtes déjà en ligne. La première conversation passe, dans ce cas, en attente.\r\nVous pourrez ainsi alterner la conversation entre vos deux interlocuteurs.;Options Communication;Options;;Internet;R;;;;;0;2,00 eur/mois;;0;;cs_signal_d_appel.pdf;Internet
IR131076;C;Découverte Stop secret 1 mois;Découverte Stop secret 1 mois;Option Stop secret offerte pendant 1 mois. Sans action de votre part, l'option est automatiquement résiliée à l'issue de la période de découverte. Vous recevrez un email 7 jours avant la fin de votre période d'essai. Pour continuer à en bénéficier, abonnez-vous directement depuis le lien cliquable de l'email ou en souscrivant directement à l'option Stop Secret depuis la rubrique « mes options » sur votre espace client.\r\n\r\nAvec l'option Stop Secret , Orange filtre pour vous les appels de télémarketing et tous autres appels indésirables dont le numéro est masqué.\r\n\r\nOption soumise à conditions, valable en France métropolitaine. Non disponible pour les abonnés internet-TV-téléphone Orange dont l'offre nécessite un abonnement ligne fixe Orange. Les options Stop Secret, Renvoi d'appel premium sont incompatibles.;Options Communication;Options;;Internet;R;;;;;0;1 mois offert puis l'option est résiliée automatiquement;;0;;;Internet
IR131300;C;Sosh : option décodeur TV (5 eur);Sosh : option décodeur TV;140 chaînes incluses : toutes les chaînes TNT, des chaînes internationales et thématiques.;Options TV Sosh;Options;;Internet;R;;;;;0;5,00 eur/mois;;0;;cs_option_decodeur_TV_Sosh.pdf;Internet
IR131493;C;bouquet gay;bouquet gay (sans engagement);(réservée aux adultes - code adulte nécessaire).\r\nOption sans engagement.;Options TV;Options;;Internet;R;;;;;0;25,99 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR131714;C;odr Sosh jusqu'à 100eur frais résiliation;Vous avez changé d'opérateur internet et souscrit à une offre La Boîte Sosh ?;Vous avez changé d'opérateur internet et souscrit à une offre La Boîte Sosh :\r\nJusqu'à 100 euros remboursés sur les frais de résiliation et les mois d'abonnement restant à échoir, facturés par votre ancien opérateur.\r\n\r\nEnvoyez votre dossier en remplissant et en validant le formulaire disponible à l'adresse suivante : \r\nhttps://www.sosh.fr/bon-plan-promo/coupon-remboursement\r\n\r\nVous voulez suivre votre dossier, connectez-vous sur www.sosh.fr;ODR;Information;;Internet;R;;;;;0;Jusqu'à 100,00 eur remboursés;;0;;;Internet
IR131717;C;Option ePresse;Option ePresse;Avec l'option presse, lisez jusqu'à 15 numéros de presse quotidienne ou magazines, à choisir chaque mois parmi plus de 450 titres du catalogue d'ePresse.\r\n\r\nOption à souscrire et valable en France métropolitaine pour les clients titulaires d'une offre haut débit d'Orange sous réserve d'éligibilité et accessible sur terminaux compatibles (listes des terminaux compatibles disponibles sur orange.fr).\r\n\r\nL'accès au service ePresse nécessite le téléchargement de l'application ePresse sur terminaux compatibles ou l'accès au site web orange.epresse.fr. Le téléchargement et l'usage du service sur terminal mobile est décompté de l'internet mobile de votre forfait mobile Orange ou de votre éventuelle option internet mobile. \r\nChaque numéro de presse ou magazine vaut 1, 2 ou 3 crédits selon le titre auquel il appartient. Les crédits non consommés ne sont pas reportés d'un mois sur l'autre. Le catalogue des titres proposés dans le cadre de l'Option est celui proposé par le site orange.epresse.fr. \r\n\r\nOrange peut être amené à modifier sans préavis et à tout moment, tout ou partie des titres éligibles sur le catalogue.\r\nDétail de l'option et conditions sur orange.fr;Options Internet;Options;;Internet;R;;;;;0;9,99 eur/mois;;0;;;Internet
IR131718;C;bouquet Libanais;bouquet Libanais (sans engagement);Le meilleur des chaînes libanaises aux thématiques diversifiées : divertissement, information, religion, généraliste.\r\nChaque membre de la famille peut ainsi choisir le programme de son choix parmi la diversité de chaînes et contenus proposés.\r\n;Options TV;Options;;Internet;R;;;;;0;7,00 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR131719;C;bouquet adulte max;bouquet adulte max (sans engagement);(réservée aux adultes - code adulte nécessaire).;Options TV;Options;;Internet;R;;;;;0;25,99 eur/mois;;0;;cs_tv_payante.pdf;Internet
IR131735;C;Maintien du numéro (sans envoi consentement);Portabilité mobile : conserver votre numéro;"Pour devenir client Orange mobile sans changer votre numéro de mobile actuel, il vous faut récupérer votre Relevé d'Identité Opérateur ""RIO"". Puis, nous nous occupons de la résiliation de votre contrat jusqu'au maintien de votre numéro de mobile.\r\n\r\nRetrouvez la démarche à suivre en vous connectant sur :\r\nhttps://assistance.orange.fr/assistance-commerciale/l-achat-et-la-commande/assurer-votre-portabilite-fixe-ou-mobile";Communication Mobile;Information;;Internet;R;;;;0;0;;;0;;;Autres
IR131916;C;Désimlockage;Toute l'assistance pour désimlocker votre mobile;Comment débloquer votre mobile ?\r\n\r\nRetrouvez toute la démarche à suivre en vous connectant sur :\r\nhttp://assistance.orange.fr/mobile-tablette/tous-les-mobiles-et-tablettes/depanner/desimlocker-votre-mobile;Communication Mobile;Information;;Internet;R;;;;0;0;;;0;;;Autres
IR131923;C;Envoi Livebox 4;Livebox 4;"La Livebox 4 a été pensée pour optimiser la qualité de votre réception grâce à ses 4*4 antennes. Que vous soyez client Fibre ou ADSL/VDSL, vous profitez d'une expérience de qualité optimale sur tous vos équipements.\r\nAvec l'application ""Ma Livebox"", vous gérez votre accès Internet depuis votre téléphone, vous optimisez votre Wi-Fi dans chaque pièce de la maison, vous contrôlez l'accès à Internet de vos enfants, le bon fonctionnement des services, partagez la clé de sécurité Wi-Fi avec vos invités et optimisez votre consommation d'énergie avec le planificateur Wi-Fi.";Livebox;Produits;;Internet;R;;;;;0;Inclus dans l'offre;;0;;;Internet
IR131925;C;Frais échange Livebox 4;Frais d'échange pour une Livebox 4;Frais d'échange pour une Livebox 4 sur demande du client.;Frais matériels;Options;;Internet;R;;;;;0;10,00 eur;;0;;frais_echange_Livebox_decodeur_TV.pdf;Internet
IR131939;C;Option Stockage Livebox;option Stockage Livebox;Avec le Stockage Livebox, vous bénéficiez d'un disque dur 1To (1000Go) pour toute la famille, pour stocker chez vous et très rapidement de gros volume de données depuis votre ordinateur et les consulter sur tous les écrans (ordinateur, smartphone, tablette, TV) avec les applications Cloud d'Orange.;Options Internet;Options;;Internet;R;;;;;0;5,00 eur/mois (frais de mise en service : 10,00 eur);;0;;;Internet
IR131971;C;Frais échange Livebox 4 (0 eur);Frais d'échange offerts pour une Livebox 4;;Frais matériels;Options;;Internet;R;;;;;0;0,00 eur au lieu de 10,00 eur;;0;;;Internet
IR132319;C;odr offres LB xDSL frais résiliation jusqu'à 100eur;Vous avez changé d'opérateur internet ? Orange vous rembourse jusqu'à 100 euros;Vous avez changé d'opérateur internet et souscrit à une offre Livebox xDSL, Orange vous rembourse jusqu'à 100 euros sur vos frais de résiliation ou les mois d'abonnement restant à échoir, facturés par votre ancien opérateur.\r\n\r\nEnvoyez votre dossier en remplissant et en validant le formulaire disponible à l'adresse suivante : \r\nhttps://boutique.orange.fr/bon-plan-promo/odr-remboursement/\r\n\r\nVous voulez suivre votre dossier, connectez-vous sur www.suiviodr.orange.fr;ODR;Information;;Internet;R;;;;;0;Jusqu'à 100 eur remboursés;;0;;;Internet
IR132320;C;odr offres LB Fibre frais résiliation jusqu'à 150eur;Vous avez changé d'opérateur internet ? Orange vous rembourse jusqu'à 150 euros;Vous avez changé d'opérateur internet et souscrit à une offre Livebox Fibre, Orange vous rembourse jusqu'à 150 euros sur vos frais de résiliation ou les mois d'abonnement restant à échoir, facturés par votre ancien opérateur.\r\n\r\nEnvoyez votre dossier en remplissant et en validant le formulaire disponible à l'adresse suivante : \r\nhttps://boutique.orange.fr/bon-plan-promo/odr-remboursement/\r\n\r\nVous voulez suivre votre dossier, connectez-vous sur www.suiviodr.orange.fr;ODR;Information;;Internet;R;;;;;0;Jusqu'à 150 eur remboursés;;0;;;Internet
IR132821;C;FAQ Activation Vo-Wifi : Suivi personnalisé;Où que vous soyez, passez et recevez vos appels grâce au réseau wifi;Les Appels Wi-Fi vous permettent de continuer à appeler et être appelé, même sans couverture mobile, en France métropolitaine, chez vous ou à l'extérieur !\r\n\r\nVous n'avez pas besoin d'installer d'application pour en profiter. Vous en bénéficiez automatiquement dès lors que vous êtes équipé d'un mobile et d'une offre compatibles.\r\n\r\nUne fois le service activé sur votre mobile, vous pouvez passer et recevoir vos appels lorsque vous êtes connecté en wifi.\r\n\r\nRetrouvez toutes les informations nécessaires sur ce service en vous connectant sur : https://assistance.orange.fr/oid/729530;Suivi personnalisé;Information;;Internet;R;;;;0;0;;;0;;;Autres
IR132845;C;Option Algérie 10h vers fixes pour Sosh;option Algérie 10h vers fixes;10h d'appels par mois vers les fixes d'Algérie, depuis la ligne de téléphone par internet.\r\nOption sans engagement.\r\n\r\nAppels hors numéros et services spéciaux et numéros satellitaires, jusqu'à 99 correspondants différents par mois, 3h max/appel. En cas de changement d'offre ou de résiliation de l'offre Internet, cette option prendra fin automatiquement. En cas de résiliation le crédit restant est perdu. Tarification à la seconde dès la première seconde, sans coût de mise en relation. Au-delà des 10h, le coût de mise en relation est 0,13cts/appel.;Options Communication;Options;;Internet;R;;;;;0;5,00 eur/mois;;0;;cs_sosh_option_algerie.pdf;Internet
IR132846;C;Lien ODRs disponibles : Suivi personnalisé;Toutes les offres de remboursement Orange en cours de validité;Retrouvez votre offre de remboursement et envoyez votre dossier en complétant le formulaire au plus tard à la date limite indiquée sur le document.\r\n\r\nToutes les offres de remboursement disponibles à l'adresse suivante : \r\nhttps://boutique.orange.fr/bon-plan-promo/odr-remboursement/\r\n\r\nVous voulez suivre votre dossier, connectez-vous sur www.suiviodr.orange.fr;Suivi personnalisé;Information;;Internet;R;;;;0;0;;;0;;;Autres
IR132860;C;Précommande;Précommande;;Marquage;Information;;Internet;R;;;;;0;;;0;;;Autres
IR133191;C;Lettre propriétaire information installation Fibre;Vous souhaitez informer votre propriétaire que vous souscrivez à une offre Fibre ?;Ci-joint un modèle de lettre pour vous aider à informer votre propriétaire que vous souscrivez à une offre Fibre Orange.;Communication Fibre;Information;;Internet;R;;;;;0;;;0;;Lettre_Installation_de_la_Fibre_a_domicile.pdf;Autres
IR133317;C;Demande client d'assistance commerciale traitée en Call1;Demande client d'assistance commerciale traitée en Call1;;Passerelles;Information;;Internet;R;;;;;0;;;0;;;Autres
IR133318;C;Renvoi 3900 (motif commercial);Renvoi 3900 (motif commercial);;Passerelles;Information;;Internet;R;;;;;0;;;0;;;Autres
IR133319;C;Renvoi 3900 (motif technique);Renvoi 3900 (motif technique);;Passerelles;Information;;Internet;R;;;;;0;;;0;;;Autres
IR133321;C;Demande client d'assistance technique traitée en Call1;Demande client d'assistance technique traitée en Call1;;Passerelles;Information;;Internet;R;;;;;0;;;0;;;Autres
IR133455;C;Lien découverte 4G / 5G Home;Découvrez la 4G et 5G Home !;Pour toutes questions relatives à la 4G ou 5G home, nous vous invitons à vous connecter à l'adresse suivante : \r\nhttps://boutique.orange.fr/internet/autres-offres;Communication;Information;;Internet;R;;;;;0;;;0;;;Autres
IR133535;C;Comment gérer votre DLM : Suivi personnalisé;Conservez et améliorez la qualité de votre ligne ADSL Orange en gérant la supervision DLM;Le système DLM (Dynamic Line Management) est un dispositif qui vous permet de conserver ou d'améliorer la qualité de votre ligne ADSL.\r\nEn cas de perturbations, le DLM absorbe les défauts pour maintenir un débit élevé. En l'absence de perturbations, le DLM contribue à l'amélioration des performances de votre ligne ADSL.\r\n\r\nPour activer ou désactiver la supervision DLM de votre ligne ADSL et en savoir plus sur le dispositif, nous vous invitons à vous connecter à l'adresse suivante :\r\nhttps://espaceclientv3.orange.fr/formulaire-dlm;Suivi personnalisé;Information;;Internet;R;;;;0;0;;;0;;;Autres
IR133544;C;Installation Fibre en autonomie : Suivi personnalisé;Bénéficiez du raccordement à la Fibre et d'une aide à l'installation en autonomie de vos équipements;Pour votre raccordement à la Fibre :\r\n- vous avez convenu d'un rendez-vous pour que le technicien intervienne dans votre logement\r\n- vous définirez alors ensemble la position de la prise fibre adaptée à vos besoins et à l'esthétique de votre logement\r\n\r\nPour l'installation de vos équipements en autonomie et en toute simplicité, Orange vous accompagne.\r\nRetrouvez toutes les étapes pour installer vous-même votre Livebox, votre décodeur TV et connecter tous vos équipements, sur :\r\n\r\n- l'assistance en ligne à l'adresse : https://assistance.orange.fr/oid/756984\r\n\r\n- l'application ma Livebox pour vous guider pas à pas.\r\nPour télécharger l'application ma Livebox, connectez-vous sur : http://applications-et-logiciels.orange.fr/applications/ma-livebox\r\n\r\n- le guide d'installation disponible avec le matériel\r\n\r\n- un tutoriel en vidéo à visionner sur : https://boutique.orange.fr/informations/installation-fibre/;Suivi personnalisé;Information;;Internet;R;;;;0;0;;;0;;Fibre_installation_pas_a_pas.pdf;Autres
IR133549;C;Prestation Câblage simple;Prestation de service : câblage simple;"Cette prestation offre la possibilité d'étendre le câblage de votre domicile et ainsi d'optimiser l'installation de vos équipements internet.\r\n\r\nLe forfait comprend soit : \r\n- l'installation d'une prise téléphonique supplémentaire ou le déplacement d'une prise existante, le cas échéant associé à du câble (support cuivre ou Fibre)\r\n- l'installation ou le remplacement d'un tronçon de câble\r\n\r\nLe forfait ""prestation de câblage simple"" inclut la main d'œuvre, le déplacement du technicien et le coût du matériel.";Prestation d'installation;Options;;Internet;R;;;;;0;115,00 eur;;0;;;Internet
IR133661;C;Option internet 2Go 5EUR/mois (forfait bloqué);Option internet 2Go;option valable chaque mois pour votre forfait avec internet bloqué (Forfait Mini 50Mo ou Mini 5Go (en version bloquée ou non bloquée, en version Open ou mobile pour client Open);Options Internet;Options;;Internet;R;;;;;0;5 eur/mois;;0;;;Internet
IR133662;C;Option internet 2Go 5EUR/mois (internet haut débit réduit);Option internet 2Go;option valable chaque mois pour votre forfait avec internet débit réduit au-delà du volume internet inclus.;Options Internet;Options;;Internet;R;;;;;0;5 eur/mois;;0;;;Internet
IR133686;C;BBI LB4 : Suivi personnalisé;Tout ce qu'il faut savoir pour optimiser la couverture réseau de votre domicile;Vous avez opté pour une connexion par Wi-Fi et votre débit n'est pas optimal ?\r\nRetrouvez toutes les recommandations d'Orange pour vous aider à améliorer la qualité de votre connexion, sur :\r\nhttps://www.youtube.com/watch?v=OLbAvIKKrPc\r\n\r\n\r\nVous souhaitez déplacer votre Livebox ?\r\nAccédez à toute l'assistance pour rebrancher simplement étape par étape votre Livebox, à l'adresse suivante :\r\nhttps://assistance.orange.fr/oid/717669;Suivi personnalisé;Information;;Internet;R;;;;;0;;;0;;;Autres
IR133822;C;La Boîte Sosh ADSL (acq);La Boîte Sosh ADSL;Internet + téléphone par internet (ligne Livebox) illimité vers les fixes de France métropolitaine, DOM et plus de 100 destinations.\r\n\r\nOffre sans engagement.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse.\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Sosh (acquisition);Offres;;Internet;R;;;;;0;20,99 eur/mois*;;0;;RC_Boite_Sosh.pdf;Internet
IR133974;C;Offre Livebox xDSL (acq);Offre Livebox ADSL / VDSL2;Internet + téléphone par internet (ligne Livebox) illimité :\r\n- vers les fixes de France métropolitaine, DOM et plus de 100 destinations,\r\n- vers les mobiles USA et Canada.\r\n\r\nOffre avec engagement initial de 12 mois pour les nouveaux clients internet Orange.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre Livebox (acquisition);Offres;;Internet;R;;;;;0;38,99 eur/mois*;;0;;RC_Offre_Livebox.pdf;Internet
IR133975;C;Offre Livebox xDSL (mig);Offre Livebox ADSL/VDSL2;Internet + téléphone par internet (ligne Livebox) illimité :\r\n- vers les fixes de France métropolitaine, DOM et plus de 100 destinations,\r\n- vers les mobiles USA et Canada.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre Livebox (migration);Offres;;Internet;R;;;;;0;38,99 eur/mois*;;0;;RC_Offre_Livebox.pdf;Internet
IR134001;C;Offre Livebox Fibre (acq);Offre Livebox Fibre;Internet + téléphone par internet (ligne Livebox) illimité :\r\n- vers les fixes de France métropolitaine, DOM et plus de 110 destinations,\r\n- vers les mobiles USA et Canada.\r\n\r\nOffre avec engagement initial de 12 mois pour les nouveaux clients internet Orange.\r\n\r\nRetrouvez le détail de votre offre dont la liste des destinations dans la fiche d'information jointe à cet email.\r\n\r\n* Location Livebox incluse : 3,00 eur/mois\r\nOffre accessible en France métropolitaine sous réserve d'éligibilité pour toute commande confirmée entre le 21/08/2025 au 08/10/2025.;Offre Livebox (acquisition);Offres;;Internet;R;;;;;0;42,99 eur/mois*;;0;;RC_Offre_Livebox.pdf;Internet
